Transaktionsexport;;;;;;2026-09-05 14:43:46
2026-06-06;2026-06-07;AMAZON PRIME;LUXEMBOURG;SEK;0.0;69.0
2026-06-06;2026-06-07;FOODORA AB;STOCKHOLM;SEK;0.0;422.0
2026-06-06;2026-06-07;PINCH PANTRY AB;GOTEBORG;SEK;0.0;175.0
2026-06-06;2026-06-07;SNUSBOLAGET.SE;HANINGE;SEK;0.0;1079.7
2026-06-05;2026-06-06;APOHEM.SE;STOCKHOLM;SEK;0.0;299.0
2026-06-05;2026-06-06;BABYSAM SISJÖN;ASKIM;SEK;0.0;860.4
2026-06-05;2026-06-06;MCDMOLNDAL;MOLNDAL;SEK;0.0;90.0
2026-06-05;2026-06-05;År-/mån aug 2026 tom jul 2027;;SEK;0.0;295.0
2026-06-05;2026-06-05;År-/mån aug 2026 tom jul 2027;;SEK;0.0;2335.0
2026-06-04;2026-06-05;APOTEKET KUNGSGATAN;GOETEBORG;SEK;0.0;470.0
2026-06-04;2026-06-05;BILIA;SOLNA;SEK;0.0;189.0
2026-06-04;2026-06-04;EASYPARK;EASYPARK.SE;SEK;0.0;11.05
2026-06-04;2026-06-05;VIAPLAY;STOCKHOLM;SEK;0.0;399.0
2026-06-04;2026-06-05;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;269.76
2026-06-03;2026-06-04;BEETS SALADS BAR;GOTEBORG;SEK;0.0;184.0
2026-06-02;2026-06-03;APOTEK HJARTAT KUNGSGA;GOTEBORG;SEK;0.0;466.4
2026-06-02;2026-06-03;LINDEX GOTEBORG;GOTEBORG;SEK;0.0;1369.0
2026-06-02;2026-06-03;NK KOK & DESIGN GBG;GA.TEBORG;SEK;0.0;205.0
2026-06-02;2026-06-03;ZETTLE_*PRALINBODEN;GOTEBORG;SEK;0.0;248.0
2026-06-01;2026-06-02;COOLSHOP.SE;VARBERG;SEK;0.0;2764.0
2026-06-01;2026-06-02;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;186.63
2026-05-31;2026-06-01;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;324.24
2026-05-30;2026-05-30;BOOKBEAT CBB69C21151D;STOCKHOLM;SEK;0.0;99.0
2026-05-30;2026-05-31;ESPRESSO HOUSE 195;GOETEBORG;SEK;0.0;98.0
2026-05-30;2026-05-31;FOODORA AB;STOCKHOLM;SEK;0.0;459.0
2026-05-30;2026-05-31;TV4 AKTIEBOLAG;STOCKHOLM;SEK;0.0;399.0
2026-05-30;2026-05-31;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;294.6
2026-05-30;2026-05-31;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;452.81
2026-05-28;2026-05-29;APOTEKET KUNGSGATAN;GOETEBORG;SEK;0.0;371.0
2026-05-28;2026-05-28;EASYPARK;EASYPARK.SE;SEK;0.0;340.0
2026-05-28;2026-05-29;FRIENDS DONATION;JOHANNESHOV;SEK;0.0;5.0
2026-05-28;2026-05-29;HELP.HBOMAX.COM;STOCKHOLM;SEK;0.0;74.5
2026-05-28;2026-05-30;W*MMSPORTS.SE;ASKIM;SEK;0.0;1149.0
2026-05-28;2026-05-29;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;62.0
2026-05-27;2026-05-28;LOOMISP*SEVEN VENDING;GOTEBORG;SEK;0.0;25.0
2026-05-27;2026-05-27;LOOMISP*SEVEN VENDING;GOTEBORG;SEK;0.0;30.0
2026-05-26;2026-05-26;LOOMISP*SEVEN VENDING;GOTEBORG;SEK;0.0;21.0
2026-05-26;2026-05-26;LOOMISP*SEVEN VENDING;GOTEBORG;SEK;0.0;30.0
2026-05-26;2026-05-26;LOOMISP*SEVEN VENDING;GOTEBORG;SEK;0.0;32.0
2026-05-26;2026-05-26;LOOMISP*SEVEN VENDING;GOTEBORG;SEK;0.0;84.0
2026-05-25;2026-05-25;LOOMISP*SEVEN VENDING;GOTEBORG;SEK;0.0;25.0
2026-05-25;2026-05-25;LOOMISP*SEVEN VENDING;GOTEBORG;SEK;0.0;30.0
2026-05-25;2026-05-26;LOOMISP*SEVEN VENDING;GOTEBORG;SEK;0.0;32.0
2026-05-24;2026-05-24;EASYPARK;EASYPARK.SE;SEK;0.0;5.1
2026-05-24;2026-05-25;FOODORA AB;STOCKHOLM;SEK;0.0;370.0
2026-05-22;2026-05-23;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;163.12
2026-05-22;2026-05-23;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;235.83
2026-05-21;2026-05-22;FOODORA AB;STOCKHOLM;SEK;0.0;491.0
2026-05-20;2026-05-20;EASYPARK;EASYPARK.SE;SEK;0.0;13.32
2026-05-20;2026-05-21;MARBODAL;GOTEBORG;SEK;0.0;403.0
2026-05-20;2026-05-21;RITUALS COSMETICS SWED;GOETEBORG;SEK;0.0;338.0
2026-05-20;2026-05-21;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;91.82
2026-05-20;2026-05-21;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;281.27
2026-05-19;2026-05-19;ESPRESSO HOUSE 420;GOETEBORG;SEK;0.0;55.0
2026-05-18;2026-05-19;7-ELEVEN VAESTRA HAMNG;GOETEBORG;SEK;0.0;27.0
2026-05-18;2026-05-19;ROOTS CAFE;GOTEBORG;SEK;0.0;141.0
2026-05-18;2026-05-19;SPOTIFY P4294DFFB3;STOCKHOLM;SEK;0.0;129.0
2026-05-18;2026-05-19;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;274.88
2026-05-18;2026-05-19;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;280.12
2026-05-17;2026-05-18;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;59.8
2026-05-16;2026-05-17;AHLENS GOETEBORG KUNGS;GOETEBORG;SEK;0.0;68.0
2026-05-16;2026-05-17;AKADEMIBOKHANDE;GÖTEBORG;SEK;0.0;312.0
2026-05-16;2026-05-17;DA MATTEO - MAGASINSGA;GOETEBORG;SEK;0.0;87.0
2026-05-16;2026-05-17;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;47.42
2026-05-16;2026-05-17;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;189.82
2026-05-16;2026-05-17;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;267.77
2026-05-15;2026-05-16;CHICCA BELLONI;GOTEBORG;SEK;0.0;115.5
2026-05-15;2026-05-16;GELATERIAN GOTEBORG;GOTEBORG;SEK;0.0;166.0
2026-05-15;2026-05-16;ZETTLE_*SELECTED BRAND;GOTEBORG;SEK;0.0;200.0
2026-05-14;2026-05-15;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;75.14
2026-05-13;2026-05-14;7-ELEVEN VAESTRA HAMNG;GOETEBORG;SEK;0.0;34.0
2026-05-13;2026-05-14;BONNIER NEWS;STOCKHOLM;SEK;0.0;29.0
2026-05-13;2026-05-14;FOODORA AB;STOCKHOLM;SEK;0.0;489.0
2026-05-12;2026-05-13;STYLE BARBERSHOP;GOTEBORG;SEK;0.0;389.0
2026-05-11;2026-05-12;APPLE.COM/BILL;CORK;SEK;0.0;89.0
2026-05-11;2026-05-12;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;213.89
2026-05-11;2026-05-12;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;290.71
2026-05-10;2026-05-11;FLUGGER AB;GOTEBORG;SEK;0.0;-419.3
2026-05-10;2026-05-11;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;59.0
2026-05-09;2026-05-10;AL BANCO PASTA;GOTEBORG;SEK;0.0;110.0
2026-05-09;2026-05-11;FLORAMORAOCHKRUKATOSAB;GOTEBORG;SEK;0.0;404.0
2026-05-09;2026-05-10;ICA KVANTUM HOVAS;HOVAS;SEK;0.0;148.56
2026-05-09;2026-05-10;PEAKABREW COFFEE AB;HOVAS;SEK;0.0;367.0
2026-05-09;2026-05-10;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;154.52
2026-05-09;2026-05-10;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;237.41
2026-05-08;2026-05-09;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;224.93
2026-05-08;2026-05-09;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;335.74
2026-05-07;2026-05-08;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;124.78
2026-05-07;2026-05-08;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;197.47
2026-05-06;2026-05-07;AMAZON PRIME;LUXEMBOURG;SEK;0.0;69.0
2026-05-06;2026-05-07;BIOPALATSET GOT;GOTEBORG;SEK;0.0;193.0
2026-05-06;2026-05-07;MR SHOU KUNGSTORGET;GOTEBORG;SEK;0.0;214.0
2026-05-06;2026-05-07;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;77.61
2026-05-05;2026-05-06;BLOMSTERLANDET;ASKIM;SEK;0.0;952.9
2026-05-04;2026-05-05;SNUSBOLAGET.SE;HANINGE;SEK;0.0;1109.7
2026-05-04;2026-05-05;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;205.22
2026-05-04;2026-05-05;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;407.98
2026-05-03;2026-05-03;EASYPARK;EASYPARK.SE;SEK;0.0;36.84
2026-05-03;2026-05-04;GOTEBORG CITY MAT &;GOTEBORG;SEK;0.0;278.0
2026-05-03;2026-05-04;NK BEAUTY GBG;GA.TEBORG;SEK;0.0;360.0
2026-05-03;2026-05-04;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;8.0
2026-05-03;2026-05-04;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;194.68
2026-05-02;2026-05-03;BEETS SALADS BAR;GOTEBORG;SEK;0.0;314.0
2026-05-02;2026-05-03;INDISKA HORNET;GOTEBORG;SEK;0.0;450.0
2026-05-01;2026-05-02;BILIA;SOLNA;SEK;0.0;189.0
2026-05-01;2026-05-02;CLAS OHLSON;GOTEBORG;SEK;0.0;182.7
2026-05-01;2026-05-02;FOODORA AB;STOCKHOLM;SEK;0.0;951.0
2026-05-01;2026-05-01;LOOMISP*DAHLS BAGERI-4;VASTRA FROLUN;SEK;0.0;99.0
2026-05-01;2026-05-02;MIO VASTRA FROL;VASTRA FROLUN;SEK;0.0;31.0
2026-05-01;2026-05-02;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;401.16
2026-04-30;2026-04-30;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;49.0
2026-04-30;2026-04-30;BOOKBEAT 1EAD688429CE;STOCKHOLM;SEK;0.0;99.0
2026-04-30;2026-05-01;BUNCHERY BY BLOMRUM;GOETEBORG;SEK;0.0;318.0
2026-04-30;2026-05-01;TV4 AKTIEBOLAG;STOCKHOLM;SEK;0.0;399.0
2026-04-30;2026-05-01;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;256.7
2026-04-30;2026-05-01;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;330.06
2026-04-29;2026-04-30;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;62.0
2026-04-29;2026-04-30;BABYSAM.SE;KUNGENS KURVA;SEK;0.0;1695.0
2026-04-29;2026-04-30;PASTOR - STORA SALUHAL;GOTEBORG;SEK;0.0;145.0
2026-04-28;2026-04-29;HELP.HBOMAX.COM;STOCKHOLM;SEK;0.0;74.5
2026-04-27;2026-04-27;7-ELEVEN 4116150;GOETEBORG;SEK;0.0;94.0
2026-04-27;2026-04-28;HARMONI DUMPLINGS;GOTEBORG;SEK;0.0;110.0
2026-04-27;2026-04-28;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;211.71
2026-04-27;2026-04-28;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;352.5
2026-04-26;2026-04-27;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;17.0
2026-04-26;2026-04-27;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;21.0
2026-04-26;2026-04-27;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;22.0
2026-04-25;2026-04-26;BISTRO BREVE AB;GOTEBORG;SEK;0.0;1551.0
2026-04-25;2026-04-26;E-VILLE.COM;HELSINKI;SEK;0.0;578.0
2026-04-25;2026-04-26;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;76.91
2026-04-25;2026-04-26;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;351.08
2026-04-24;2026-04-25;AHLENS GOETEBORG KUNGS;GOETEBORG;SEK;0.0;1898.6
2026-04-24;2026-04-25;INDISKA HORNET;GOTEBORG;SEK;0.0;300.0
2026-04-24;2026-04-25;STADIUM FREDSGA;GOTEBORG;SEK;0.0;399.0
2026-04-24;2026-04-25;ZETTLE_*MACKLUCKAN AB;GOTEBORG;SEK;0.0;134.0
2026-04-23;2026-04-24;ARKET SE0702;GOETEBORG;SEK;0.0;141.0
2026-04-23;2026-04-24;BILTEMA SWEDEN SISJON;VASTRA FROLUN;SEK;0.0;199.8
2026-04-23;2026-04-24;FLUGGER AB;GOTEBORG;SEK;0.0;1190.49
2026-04-23;2026-04-24;LINDEX GOTEBORG;GOTEBORG;SEK;0.0;832.0
2026-04-22;2026-04-22;7-ELEVEN 4116150;GOETEBORG;SEK;0.0;62.0
2026-04-22;2026-04-22;EASYPARK;EASYPARK.SE;SEK;0.0;33.15
2026-04-22;2026-04-23;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;220.28
2026-04-22;2026-04-23;ZETTLE_*BABYSCREEN SWE;GOTEBORG;SEK;0.0;1881.0
2026-04-21;2026-04-21;ESPRESSO HOUSE 420;GOETEBORG;SEK;0.0;57.0
2026-04-21;2026-04-22;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;210.61
2026-04-20;2026-04-21;APOTEK HJARTAT KUNGSGA;GOTEBORG;SEK;0.0;388.0
2026-04-20;2026-04-21;STUCKATUR I SVE;OREBRO;SEK;0.0;3674.0
2026-04-19;2026-04-20;JOTEX SWEDEN AB;BORAS;SEK;0.0;2434.0
2026-04-19;2026-04-20;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;60.0
2026-04-19;2026-04-21;W*MMSPORTS.SE;ASKIM;SEK;0.0;1407.0
2026-04-19;2026-04-21;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;141.06
2026-04-19;2026-04-21;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;158.91
2026-04-18;2026-04-19;CAMELLIA I GOTE;LINDOME;SEK;0.0;95.0
2026-04-18;2026-04-19;IKEA KALLERED HFB ECO;KALLERED;SEK;0.0;2348.0
2026-04-18;2026-04-19;MAXI ICA STORMARKNAD G;GOTEBORG;SEK;0.0;577.04
2026-04-18;2026-04-18;SPOTIFY P418E6DAD8;STOCKHOLM;SEK;0.0;129.0
2026-04-17;2026-04-17;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;56.0
2026-04-17;2026-04-19;BARABICU;GOTEBORG;SEK;0.0;799.7
2026-04-17;2026-04-18;BEETS SALADS BAR;GOTEBORG;SEK;0.0;155.0
2026-04-17;2026-04-18;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;64.52
2026-04-16;2026-04-16;7-ELEVEN GBG KUNGSGATA;GOETEBORG;SEK;0.0;102.0
2026-04-16;2026-04-17;JOE  THE JUICE NG AB;STOCKHOLM;SEK;0.0;188.0
2026-04-16;2026-04-16;NETFLIX.COM;LOS GATOS;SEK;0.0;199.0
2026-04-16;2026-04-17;SP MOMKIND APS;KBENHAVN NV;SEK;0.0;1585.0
2026-04-16;2026-04-17;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;222.98
2026-04-15;2026-04-16;FOODORA AB;STOCKHOLM;SEK;0.0;465.0
2026-04-15;2026-04-16;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;395.19
2026-04-15;2026-04-16;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;436.85
2026-04-14;2026-04-15;APOTEK HJARTAT KUNGSGA;GOTEBORG;SEK;0.0;438.0
2026-04-13;2026-04-14;BONNIER NEWS;STOCKHOLM;SEK;0.0;29.0
2026-04-12;2026-04-12;ESPRESSO HOUSE 236;GOETEBORG;SEK;0.0;93.0
2026-04-12;2026-04-13;FLUGGER AB;GOTEBORG;SEK;0.0;209.0
2026-04-12;2026-04-13;IKEA KALLERED HFB ECO;KALLERED;SEK;0.0;1403.0
2026-04-12;2026-04-13;WIKIMEDIA;8776009454;SEK;0.0;33.0
2026-04-12;2026-04-13;WILLYS KALLERED EKEN;KALLERED;SEK;0.0;160.0
2026-04-11;2026-04-12;AVARDA*JOLLYROOM;G TEBORG;SEK;0.0;3688.0
2026-04-11;2026-04-14;KLARNA AB;STOCKHOLM;SEK;0.0;1990.0
2026-04-11;2026-04-12;PARKERING GÖTEB;GÖTEBORG;SEK;0.0;106.0
2026-04-11;2026-04-12;SP RUBIO MONOCOAT;ENSKEDE;SEK;0.0;150.3
2026-04-11;2026-04-12;STENBOLAGET SVE;JOHANNESHOV;SEK;0.0;784.26
2026-04-11;2026-04-12;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;244.63
2026-04-11;2026-04-12;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;495.88
2026-04-10;2026-04-11;APOTEK HJARTAT KUNGSGA;GOTEBORG;SEK;0.0;164.9
2026-04-10;2026-04-10;APPLE.COM/BILL;CORK;SEK;0.0;69.0
2026-04-10;2026-04-10;EASYPARK;EASYPARK.SE;SEK;0.0;30.32
2026-04-10;2026-04-11;NK INREDNING;GA.TEBORG;SEK;0.0;389.0
2026-04-10;2026-04-11;NK KOK & DESIGN GBG;GA.TEBORG;SEK;0.0;1599.0
2026-04-10;2026-04-11;STUCKATUR I SVE;OREBRO;SEK;0.0;84.0
2026-04-09;2026-04-10;7-ELEVEN 4215200;GOETEBORG;SEK;0.0;61.0
2026-04-09;2026-04-09;JOE  THE JUICE NG AB;STOCKHOLM;SEK;0.0;188.0
2026-04-08;2026-04-08;7-ELEVEN 4116150;GOETEBORG;SEK;0.0;54.0
2026-04-08;2026-04-09;AVARDA*JOLLYROOM;G TEBORG;SEK;0.0;656.0
2026-04-08;2026-04-09;PASTOR - STORA SALUHAL;GOTEBORG;SEK;0.0;145.0
2026-04-07;2026-04-07;7-ELEVEN 4116150;GOETEBORG;SEK;0.0;30.0
2026-04-07;2026-04-08;BEETS DROTTNINGGATAN;GOTEBORG;SEK;0.0;155.0
2026-04-07;2026-04-08;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;165.67
2026-04-07;2026-04-08;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;217.55
2026-04-06;2026-04-07;AMAZON PRIME;LUXEMBOURG;SEK;0.0;69.0
2026-04-06;2026-04-07;BLOMRUM;GOETEBORG;SEK;0.0;329.0
2026-04-06;2026-04-06;SNUSBOLAGET.SE;HANINGE;SEK;0.0;1109.7
2026-04-06;2026-04-07;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;32.6
2026-04-05;2026-04-06;MAXI ICA STORMARKNAD M;MELLBYSTRAND;SEK;0.0;228.59
2026-04-05;2026-04-06;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;390.05
2026-04-04;2026-04-05;NORRVIKEN;BASTAD;SEK;0.0;580.0
2026-04-04;2026-04-05;PARKSTER SWE;LUND;SEK;0.0;8.0
2026-04-04;2026-04-05;PARKSTER SWE;LUND;SEK;0.0;26.0
2026-04-04;2026-04-04;SYSTEMBOLAGET;HALMSTAD;SEK;0.0;309.0
2026-04-04;2026-04-05;TOPEJA BJÄRE AB;BAASTAD;SEK;0.0;2749.95
2026-04-04;2026-04-05;YOGIBOOST HALLARNA;HALMSTAD;SEK;0.0;39.0
2026-04-03;2026-04-04;AHLENS GOETEBORG KUNGS;GOETEBORG;SEK;0.0;236.25
2026-04-03;2026-04-04;GRANIT 40412;VALLGATAN;SEK;0.0;982.0
2026-04-03;2026-04-05;VITA DUVAN;GOTEBORG;SEK;0.0;660.0
2026-04-02;2026-04-02;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;110.0
2026-04-02;2026-04-03;GOTEBORG CITY MAT &;GOTEBORG;SEK;0.0;176.0
2026-04-02;2026-04-03;NK BEAUTY GBG;GA.TEBORG;SEK;0.0;315.0
2026-04-01;2026-04-02;BILIA;SOLNA;SEK;0.0;189.0
2026-04-01;2026-04-01;EASYPARK;EASYPARK.SE;SEK;0.0;26.63
2026-03-31;2026-04-01;LOOMISP*SEVEN VENDING;GOTEBORG;SEK;0.0;35.0
2026-03-31;2026-04-01;TV4 AKTIEBOLAG;STOCKHOLM;SEK;0.0;249.5
2026-03-30;2026-03-31;LOOMISP*STEINBRENNER N;GOTEBORG;SEK;0.0;44.0
2026-03-29;2026-03-30;EGG AND MILK;GOTEBORG;SEK;0.0;338.0
2026-03-29;2026-03-30;MJUK BILTVATT;GOTEBORG;SEK;0.0;319.0
2026-03-29;2026-03-30;VASTTRAFIK TO GO;SKOVDE;SEK;0.0;176.0
2026-03-29;2026-03-30;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;91.77
2026-03-28;2026-03-28;APPLE.COM/BILL;CORK;SEK;0.0;89.0
2026-03-28;2026-03-29;ESPRESSO HOUSE 195;GOETEBORG;SEK;0.0;168.0
2026-03-28;2026-03-29;HELP.HBOMAX.COM;STOCKHOLM;SEK;0.0;74.5
2026-03-28;2026-03-29;HEMKOP GOTEBORG NORD;GOTEBORG;SEK;0.0;45.85
2026-03-28;2026-03-29;MR SHOU KUNGSTORGET;GOTEBORG;SEK;0.0;527.0
2026-03-28;2026-03-29;SUSHI YAMA GOTEBORG FE;GOTEBORG;SEK;0.0;50.0
2026-03-28;2026-03-29;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;445.5
2026-03-28;2026-03-29;VASTTRAFIK TO GO;SKOVDE;SEK;0.0;176.0
2026-03-28;2026-03-29;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;282.4
2026-03-28;2026-03-29;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;389.91
2026-03-28;2026-03-29;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;454.8
2026-03-27;2026-03-28;BUNCHERY BY BLOMRUM;GOETEBORG;SEK;0.0;397.0
2026-03-27;2026-03-28;INDISKA HORNET;GOTEBORG;SEK;0.0;305.0
2026-03-27;2026-03-28;JOE  THE JUICE NG AB;STOCKHOLM;SEK;0.0;188.0
2026-03-27;2026-03-28;LINDEX GOTEBORG;GOTEBORG;SEK;0.0;528.37
2026-03-26;2026-03-27;7-ELEVEN KORSETTEN;GOETEBORG;SEK;0.0;66.0
2026-03-26;2026-03-27;ALDARDO;GOTEBORG;SEK;0.0;155.0
2026-03-26;2026-03-27;APOTEK HJARTAT KUNGSGA;GOTEBORG;SEK;0.0;147.9
2026-03-26;2026-03-27;VIAPLAY;STOCKHOLM;SEK;0.0;399.0
2026-03-26;2026-03-27;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;222.3
2026-03-25;2026-03-26;7-ELEVEN 4215200;GOETEBORG;SEK;0.0;108.0
2026-03-25;2026-03-25;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;93.0
2026-03-24;2026-03-25;PASTOR - STORA SALUHAL;GOTEBORG;SEK;0.0;145.0
2026-03-24;2026-03-25;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;28.47
2026-03-23;2026-03-24;DOBRUK, EDYTA;GOTEBORG;SEK;0.0;950.0
2026-03-22;2026-03-24;KLARNA AB;STOCKHOLM;SEK;0.0;359.0
2026-03-22;2026-03-23;MAXI ICA STORMARKNAD H;VASTRA FROLUN;SEK;0.0;1113.29
2026-03-22;2026-03-23;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;135.2
2026-03-21;2026-03-22;ESPRESSO HOUSE 434;KUNGSBACKA;SEK;0.0;107.0
2026-03-21;2026-03-22;IKEA KALLERED HFB ECO;KALLERED;SEK;0.0;1499.0
2026-03-21;2026-03-22;LE CREUSET FREE;KUNGSBACKA;SEK;0.0;2844.4
2026-03-20;2026-03-21;7-ELEVEN 4116150;GOETEBORG;SEK;0.0;22.0
2026-03-20;2026-03-21;AHLENS GOETEBORG KUNGS;GOETEBORG;SEK;0.0;398.6
2026-03-20;2026-03-21;BUNCHERY BY BLOMRUM;GOETEBORG;SEK;0.0;199.0
2026-03-20;2026-03-21;COLLAGE;GOTEBORG;SEK;0.0;594.0
2026-03-20;2026-03-20;EASYPARK;EASYPARK.SE;SEK;0.0;18.7
2026-03-20;2026-03-21;SYSTEMBOLAGET;GOETEBORG;SEK;0.0;737.8
2026-03-20;2026-03-21;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;102.5
2026-03-20;2026-03-21;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;579.43
2026-03-19;2026-03-20;ARKET SE0702;GOETEBORG;SEK;0.0;149.0
2026-03-19;2026-03-19;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;58.0
2026-03-19;2026-03-20;FLORAMORAOCHKRUKATOSAB;GOTEBORG;SEK;0.0;99.0
2026-03-19;2026-03-20;FOODORA AB;STOCKHOLM;SEK;0.0;317.0
2026-03-19;2026-03-20;SE0234;GOETEBORG;SEK;0.0;229.0
2026-03-19;2026-03-20;SE0234;GOETEBORG;SEK;0.0;929.0
2026-03-19;2026-03-20;UNHCR;DEN HAAG;SEK;0.0;10.0
2026-03-19;2026-03-20;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;609.06
2026-03-18;2026-03-19;APOTEKET OESTRA SJUKHU;GOETEBORG;SEK;0.0;208.0
2026-03-18;2026-03-19;BANH MI SHOP;GOTEBORG;SEK;0.0;130.0
2026-03-18;2026-03-18;ESPRESSO HOUSE 420;GOETEBORG;SEK;0.0;57.0
2026-03-18;2026-03-18;SPOTIFY P407EF5FA3;STOCKHOLM;SEK;0.0;129.0
2026-03-17;2026-03-18;7-ELEVEN KORSETTEN;GOETEBORG;SEK;0.0;77.0
2026-03-17;2026-03-18;BEETS DROTTNINGGATAN;GOTEBORG;SEK;0.0;184.0
2026-03-17;2026-03-18;NONNA;GOTEBORG;SEK;0.0;876.75
2026-03-17;2026-03-18;VASTTRAFIKBLIPP;SKOVDE;SEK;0.0;37.0
2026-03-17;2026-03-19;W*MMSPORTS.SE;ASKIM;SEK;0.0;1448.0
2026-03-16;2026-03-16;NETFLIX.COM;LOS GATOS;SEK;0.0;199.0
2026-03-16;2026-03-17;STYLE BARBERSHOP;GOTEBORG;SEK;0.0;389.0
2026-03-15;2026-03-16;ESPRESSO HOUSE 363;GOETEBORG;SEK;0.0;58.0
2026-03-15;2026-03-16;NK KOK & DESIGN GBG;GA.TEBORG;SEK;0.0;578.0
2026-03-15;2026-03-20;PROSHOP.SE;HOJBJERG;SEK;0.0;1347.0
2026-03-15;2026-03-16;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;155.4
2026-03-15;2026-03-16;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;166.3
2026-03-14;2026-03-15;BABY WORLD BACKAPLAN;GOTEBORG;SEK;0.0;1496.95
2026-03-14;2026-03-15;FLUGGER AB;GOTEBORG;SEK;0.0;209.0
2026-03-14;2026-03-15;WILLYS GOTEBORG HVIT;GOTEBORG;SEK;0.0;112.72
